,RA,DEC
0,0.101344,-58.926418
1,1.352517,-1.335377
2,1.762895,-58.918779
3,2.201286,-31.328834
4,2.320414,-31.655634
5,2.353899,-58.800032
6,2.423255,-59.032076
7,2.430286,-59.667581
8,2.431761,-58.765551
9,2.469816,-0.355116
10,2.571096,-1.154469
11,2.620867,-28.796172
12,2.787076,-1.411305
13,2.808064,-1.276768
14,3.070676,-59.73484
15,3.13617,-59.725331
16,3.252398,-28.788093
17,3.297754,-59.016159
18,3.327426,-29.67492
19,3.373081,-1.034251
20,3.586657,-1.11767
21,3.599819,-58.85617
22,3.677969,-1.014905
23,3.88308,-59.061992
24,3.996565,-58.95425
25,4.048331,-1.090876
26,4.215801,-29.523918
27,4.25984,-1.39111
28,4.432922,-29.239128
29,5.020424,-0.733207
30,5.02447,-30.452508
31,5.028924,-29.044616
32,5.129329,-28.753297
33,5.130026,-31.406113
34,5.166526,-0.46618
35,5.195055,-1.053469
36,5.497291,-0.374391
37,5.554032,-30.986351
38,5.628462,-31.581549
39,5.675861,-29.271228
40,5.685748,-0.781139
41,5.750154,-30.763279
42,5.783662,-0.684185
43,5.937832,-0.735093
44,6.019746,-29.563768
45,6.056808999999999,-30.728737
46,6.150203,-0.72398
47,6.207033,-30.27815
48,6.270762,-29.95179
49,6.335838,-28.933025
50,6.401389,-1.264238
51,6.443912,-0.818357
52,6.479546,-30.613063
53,6.492082,-28.926574
54,6.526551,-0.815652
55,6.593901,-31.377831
56,6.602191,-1.158438
57,6.60363,-29.505272
58,6.710569,-31.246911
59,6.744989,-30.271901
60,6.820297,-28.889243
61,6.829816,-1.491987
62,6.959684,-29.273445
63,7.056324,-1.356955
64,7.080317,-30.470977
65,7.314061,-49.30738
66,7.343181,-1.288664
67,7.371636,-29.970504
68,7.428998,-49.707712
69,7.559434,-1.44537
70,7.565995,-0.798548
71,7.591259,-29.412713
72,7.668868,-48.889533
73,7.739033,-29.284486
74,7.768081,-29.012294
75,7.802737,-29.091709
76,7.876027,-0.928193
77,8.06435,-42.466206
78,8.102931,-42.256566
79,8.151158,-43.415522
80,8.17666,-0.97411
81,8.222769,-0.683412
82,8.263497,-0.634255
83,8.392792,-1.335364
84,8.406549,-0.582461
85,8.42023,-1.539135
86,8.447923,-30.084621
87,8.45879,-43.489573
88,8.467483,-0.612479
89,8.504198,-28.953903
90,8.531688,-48.468179
91,8.534796,-0.946082
92,8.722911,-0.637406
93,8.727488,-30.880208
94,8.754751,-30.133862
95,8.803643,-0.725881
96,8.942231,-31.184162
97,9.091291,-49.625479
98,9.161328,-42.70147
99,9.222093,-48.701045
100,9.27027,-0.973017
101,9.379201,-30.629483
102,9.417156,-1.459755
103,9.436289,-48.931337
104,9.488068,-1.305998
105,10.114679,-43.337638
106,10.204473,-0.3405269999999999
107,10.411155,-29.043552
108,10.550265,-31.650535
