,RA,DEC
0,221.12264884517305,5.176501691877992
1,217.31264841939893,5.985447638454117
2,222.0508484016592,5.803362060504273
3,223.1811635517,4.604740283078384
4,223.63001408463936,4.93762013546224
5,220.30941143460308,6.201573739272893
6,32.003077,1.394459
7,41.392495,1.132143
8,41.884718,0.552214
9,43.294714,1.378887
10,316.708068,1.403891
11,320.062592,1.383854
12,325.699333,0.679067
13,340.762915,1.111719
14,346.087963,1.057585
15,351.234015,0.296782
16,353.722602,1.207298
17,10.204473,-0.3405269999999999
18,15.727989,-0.150453
19,18.712385,-0.8158299999999999
20,21.226893,0.739352
21,26.20758,0.263486
22,42.567918,0.06931
23,43.506873,0.007692
24,325.318211,-0.688117
25,333.12532,-0.1890929999999999
26,335.098077,0.310262
27,341.18838,-0.192207
28,8.263497,-0.634255
29,11.665007,-1.44975
30,14.310431,-1.421123
31,17.271918,-1.282894
32,17.486822,-0.566156
33,17.697271999999998,-0.746876
34,331.712084,-1.667819
35,348.212767,-1.010563
36,348.773691,-1.773693
37,351.299344,-1.783148
38,321.976834,-1.4062169999999998
39,327.459939,-1.998799
40,21.714707,-29.203715
41,15.568345,-31.100568
42,17.7898,-29.538983
43,17.629364,-30.072918
44,24.112246,-30.137015
45,51.137909,-30.182961
46,61.495034,-30.306312
47,66.993011,-30.358173
48,69.459458,-30.615358
49,6.056808999999999,-30.728737
50,10.550265,-31.650535
51,17.727422,-31.64536
52,18.656306,-31.476209
53,19.509508,-30.188743
54,19.164487,-31.903098
55,19.21073,-32.31503
56,20.5837,-30.917266
57,22.74716,-31.35551
58,33.062083,-32.1012
59,33.429873,-31.381786
60,34.533747,-31.451878
61,40.160002,-31.043475
62,15.420056,-31.499428
63,18.417778,-32.025667
64,18.536933,-32.070896
65,24.572835,-33.310586
66,26.751277,-31.559417
67,32.689743,-33.454912
68,35.198,-33.409224
69,47.093579,-32.804854
70,58.051323,-32.321850999999995
71,17.308608,-34.894462
72,18.588561,-33.914878
73,19.726325,-34.274515
74,19.929319,-34.38395
75,42.127402,-34.061524
76,44.268178,-34.303014999999995
77,48.181855,-34.385943
78,55.670382,-34.76194
79,55.539245,-33.69593
80,55.358554,-34.254478
81,58.846881,-33.580642
82,20.339792,-35.131687
83,28.556755,-35.62611
84,37.842503,-34.391707
85,37.933914,-34.474607
86,61.383192,-38.658409
87,63.03027,-38.15769
88,64.076802,-38.557851
89,68.620288,-39.050958
90,70.907613,-38.233801
91,48.204428,-39.197274
92,50.1798,-39.296003
93,55.610648,-40.813249
94,56.067758,-41.196576
95,56.07508,-41.484185
96,66.738863,-40.755898
97,69.153972,-40.047072
98,70.09447999999999,-40.846604
99,340.106522,-39.631256
100,49.255884,-41.700134
101,49.696417,-42.199608
102,54.606691,-40.8114
103,66.449047,-42.794884
104,67.114881,-42.245492
105,66.985339,-42.434873
106,74.638708,-42.219688
107,316.264043,-41.949478
108,316.665775,-42.607975
109,316.428657,-42.87323
110,36.940124,-44.055805
111,50.942441,-43.978898
112,55.332955,-43.478674
113,57.231076,-43.777518
114,58.582301,-43.061242
115,59.746402,-43.349932
116,66.000838,-44.386828
117,315.40007,-43.539639
118,317.247765,-43.595923
119,31.131434,-46.411707
120,49.559212,-44.794113
121,49.490879,-44.47587
122,57.982216,-45.69758
123,62.315514,-45.062537
124,64.234731,-44.686085
125,63.987405,-44.727484
126,64.944141,-45.193266
127,71.13987,-44.564648
128,73.151736,-43.850302
129,316.789347,-44.788378
130,316.055605,-46.068331
131,54.63931,-47.344623
132,60.145333,-47.262142
133,61.510065,-46.937373
134,64.273983,-47.779941
135,64.054,-45.810184
